			*Head/nonH	FtBin	SWP	WSP	Max-H	Max-m	Dep-H	Dep-m	NoFlop-H	TQ
			*Head/nonH	FtBin	SWP	WSP	Max-H	Max-m	Dep-H	Dep-m	NoFlop-H	TQ
A	(A)	1	0	1	1	0	0	0	0	0	0	0
	(a)	0	1	1	1	0	1	0	0	0	0	0
	(Aa)	0	0	0	0	0	0	0	0	1	0	1
	(aa)	0	1	0	0	0	1	0	0	1	0	0
a	(a)	1	1	1	1	0	0	0	0	0	0	0
	(A)	0	0	1	1	0	0	0	1	0	0	0
	(Aa)	0	0	0	0	0	0	0	1	1	0	1
	(aa)	0	1	0	0	0	0	0	0	1	0	0
Aa	(Aa)	1	0	0	0	0	0	0	0	0	0	1
	(aa)	0	1	0	0	0	1	0	0	0	0	0
	(A)	0	0	1	1	0	0	1	0	0	0	0
	(a)	0	1	1	1	0	1	1	0	0	0	0
aa	(aa)	1	1	0	0	0	0	0	0	0	0	0
	(Aa)	0	0	0	0	0	0	0	1	0	0	1
	(a)	0	1	1	1	0	0	1	0	0	0	0
	(A)	0	0	1	1	0	0	1	1	0	0	0
a.a	(a.a)	1	1	0	1	0	0	0	0	0	0	0
	(A.a)	0	0	0	1	0	0	0	1	0	0	1
	(A).a	0	0	1	1	0	0	0	1	0	0	0
	(aa).a	0	1	0	0	0	0	0	0	1	0	0
	(Aa).a	0	0	0	0	0	0	0	1	1	0	1
A.a	(A.a)	1	0	0	1	0	0	0	0	0	0	1
	(A).a	0	0	1	1	0	0	0	0	0	0	0
	(a.a)	0	1	0	1	0	1	0	0	0	0	0
	(Aa).a	0	0	0	0	0	0	0	0	1	0	1
	(aa).a	0	1	0	0	0	1	0	0	1	0	0
	A.(aa)	0	1	0	0	0	0	0	0	1	0	0
a.A	a.(A)	1	0	1	1	0	0	0	0	0	0	0
	(a.a)	0	1	0	1	0	1	0	0	0	0	0
	a.(Aa)	0	0	0	0	0	0	0	0	1	0	1
	(aa).A	0	1	0	0	0	0	0	0	1	0	0
	a.(aa)	0	1	0	0	0	1	0	0	1	0	0
	(A.a)	0	0	0	1	0	0	0	0	0	1	1
aa.a	(aa).a	1	1	0	0	0	0	0	0	0	0	0
	(Aa).a	0	0	0	0	0	0	0	1	0	0	1
	aa.(A)	0	0	1	1	1	0	0	1	0	0	0
	(A.a)	0	0	0	1	0	0	1	1	0	0	1
	(A).a	0	0	1	1	0	0	1	1	0	0	0
aa.A	aa.(A)	1	0	1	1	1	0	0	0	0	0	0
	(aa).A	0	1	0	0	0	0	0	0	0	0	0
	aa.(Aa)	0	0	0	0	1	0	0	0	1	0	1
	a.(Aa)	0	0	0	0	0	0	2	0	0	0	1
	(Aa).a	0	0	0	0	0	0	0	0	0	1	1
	(A.a)	0	0	0	1	0	0	1	0	0	1	1
Aa.a	(Aa).a	1	0	0	0	0	0	0	0	0	0	1
	Aa.(a)	0	1	1	1	1	0	0	0	0	0	0
	(aa).a	0	1	0	0	0	1	0	0	0	0	0
	Aa.(aa)	0	1	0	0	1	0	0	0	1	0	0
	(A.a)	0	0	0	1	0	0	1	0	0	0	1
	(A).a	0	0	1	1	0	0	1	0	0	0	0
	(a.a)	0	1	0	1	0	1	1	0	0	0	0
	aa.(A)	0	0	1	1	1	0	0	0	0	1	0
	(aa).A	0	1	0	0	0	0	0	0	0	1	0
A.aa	(A).aa	1	0	1	1	1	0	0	0	0	0	0
	A.(aa)	0	1	0	0	0	0	0	0	0	0	0
	(Aa).aa	0	0	0	0	1	0	0	0	1	0	1
	(A.a)	0	0	0	1	0	0	1	0	0	0	1
	(A).a	0	0	1	1	0	0	1	0	0	0	0
	(a.a)	0	1	0	1	0	1	1	0	0	0	0
	a.(Aa)	0	0	0	0	0	0	0	0	0	1	1
a.aa	a.(aa)	1	1	0	0	0	0	0	0	0	0	0
	a.(Aa)	0	0	0	0	0	0	0	1	0	0	1
	(A).aa	0	0	1	1	1	0	0	1	0	0	0
	(a.a)	0	1	0	1	0	0	1	0	0	0	0
	(A.a)	0	0	0	1	0	0	1	1	0	0	1
	(A).a	0	0	1	1	0	0	1	1	0	0	0
a.Aa	a.(Aa)	1	0	0	0	0	0	0	0	0	0	1
	(a).Aa	0	1	1	1	1	0	0	0	0	0	0
	a.(aa)	0	1	0	0	0	1	0	0	0	0	0
	(aa).Aa	0	1	0	0	1	0	0	0	1	0	0
	a.(A)	0	0	1	1	0	0	1	0	0	0	0
	(a.a)	0	1	0	1	0	1	1	0	0	0	0
	(A).aa	0	0	1	1	1	0	0	0	0	1	0
	A.(aa)	0	1	0	0	0	0	0	0	0	1	0
Aa.aa	(Aa).aa	1	0	0	0	1	0	0	0	0	0	1
	Aa.(aa)	0	1	0	0	1	0	0	0	0	0	0
	(A).aa	0	0	1	1	1	0	1	0	0	0	0
	(Aa).a	0	0	0	0	0	0	1	0	0	0	1
	(A.a)	0	0	0	1	0	0	2	0	0	0	1
	(A).a	0	0	1	1	0	0	2	0	0	0	0
	(aa).a	0	1	0	0	0	1	1	0	0	0	0
aa.aa	(aa).aa	1	1	0	0	1	0	0	0	0	0	0
	(Aa).aa	0	0	0	0	1	0	0	1	0	0	1
	(aa).a	0	1	0	0	0	0	1	0	0	0	0
	(A).aa	0	0	1	1	1	0	1	1	0	0	0
	(A.a)	0	0	0	1	0	0	2	1	0	0	1
	(A).a	0	0	1	1	0	0	2	1	0	0	0
aa.Aa	aa.(Aa)	1	0	0	0	1	0	0	0	0	0	1
	(aa).Aa	0	1	0	0	1	0	0	0	0	0	0
	a.(Aa)	0	0	0	0	0	0	1	0	0	0	1
	(aa).A	0	1	0	0	0	0	1	0	0	0	0
	aa.(A)	0	0	1	1	1	0	1	0	0	0	0
