grammar,A,a,Aa,aa,a.a,A.a,a.A,aa.a,aa.A,Aa.a,A.aa,a.aa,a.Aa,Aa.aa,aa.aa,aa.Aa,solution
1,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,aa.(A),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
2,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
3,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
4,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
5,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,a.(Aa),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
6,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,a.(Aa),(Aa).a,(A).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
7,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
8,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
9,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
10,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
11,(A),(a),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
12,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
13,(Aa),(aa),(Aa),(aa),(a.a),(A.a),a.(Aa),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
14,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
15,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
16,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
17,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
18,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
19,(A),(a),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
20,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
21,(Aa),(aa),(Aa),(aa),(a.a),(A.a),a.(Aa),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
22,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
23,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
24,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
25,(Aa),(aa),(Aa),(aa),(a.a),(A.a),a.(Aa),(aa).a,aa.(Aa),(Aa).a,(Aa).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
26,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,aa.(Aa),(Aa).a,(Aa).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
27,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,a.(Aa),(Aa).a,(Aa).aa,a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
28,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
29,(A),(a),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
30,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
31,(Aa),(aa),(Aa),(aa),(a.a),(A.a),a.(Aa),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
32,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
33,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,(A.a),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
34,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,a.(Aa),(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
35,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,a.(Aa),(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
36,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,a.(Aa),(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
37,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
38,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,a.(Aa),(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
39,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
40,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
41,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
42,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
43,(Aa),(aa),(Aa),(aa),(a.a),(A.a),a.(Aa),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
44,(Aa),(aa),(Aa),(aa),(aa).a,(Aa).a,a.(Aa),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
45,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
46,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(Aa).a,(Aa).a,a.(Aa),a.(aa),a.(Aa),(Aa).aa,(aa).aa,aa.(Aa),OT+HG
47,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,(Aa).aa,(aa).aa,aa.(Aa),OT+HG
48,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,(Aa).aa,(aa).aa,aa.(Aa),OT+HG
49,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,(Aa).aa,(aa).aa,aa.(Aa),OT+HG
50,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,aa.(A),(Aa).a,(A).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
51,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,aa.(A),(Aa).a,(A).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
52,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,(A).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
53,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,(A).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
54,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
55,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
56,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
57,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
58,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
59,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
60,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
61,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(aa).A,(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
62,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
63,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
64,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
65,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
66,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
67,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
